
Item                          Name                               Vehicle
----                          ----                               -------
PinkSlip.85vicsed             85 Ford Crown Victoria LTD         Base.85vicsed
PinkSlip.85vicwag             85 Ford Crown Victoria Wagon       Base.85vicwag
PinkSlip.85vicwag2            85 Ford Crown Victoria Wagon 2     Base.85vicwag2
PinkSlip.79brougham           79 Cadillac Brougham               Base.79brougham
PinkSlip.volvo244             Volvo 244                          Base.volvo244
PinkSlip.71impala             71 Chevrolet Impala                Base.71impala
PinkSlip.91crx                91 Honda CRX                       Base.91crx
PinkSlip.86yugo               86 Zastava Yugo                    Base.86yugo
PinkSlip.87c10utility         87 Chevrolet C10 Utility           Base.87c10utility
PinkSlip.87c10fire            87 Chevrolet C10 Fire              Base.87c10fire
PinkSlip.87c10mccoy           87 Chevrolet C10 McCoy             Base.87c10mccoy
PinkSlip.87c10lb              87 Chevrolet C10 lb                Base.87c10lb
PinkSlip.87c10sb              87 Chevrolet C10 sb                Base.87c10sb
PinkSlip.90ramlb              90 Dodge Ram lb                    Base.90ramlb
PinkSlip.90ramsb              90 Dodge Ram sb                    Base.90ramsb
PinkSlip.87blazer             87 Chevrolet Blazer                Base.87blazer
PinkSlip.87suburban           87 Chevrolet Suburban              Base.87suburban
PinkSlip.astrovan             Chevrolet Astro                    Base.astrovan
PinkSlip.65gto                65 Pontiac GTO                     Base.65gto
PinkSlip.69charger            69 Dodge Charger                   Base.69charger
PinkSlip.69chargerdaytona     69 Dodge Charger Daytona           Base.69chargerdaytona
PinkSlip.73falcon             73 Ford Falcon                     Base.73falcon
PinkSlip.77transam            77 Pontiac Trans Am                Base.77transam
PinkSlip.70chevelle           70 Chevrolet Chevelle              Base.70chevelle
PinkSlip.70elcamino           70 Chevrolet El Camino             Base.70elcamino
PinkSlip.68elcamino           68 Chevrolet El Camino             Base.68elcamino
PinkSlip.68wildcat            68 Buick Wildcat                   Base.68wildcat
PinkSlip.68wildcatconvert     68 Buick Wildcat                   Base.68wildcatconvert
PinkSlip.73pinto              73 Ford Pinto                      Base.73pinto
PinkSlip.moveurself           Move Urself Box Truck              Base.moveurself
PinkSlip.isuzubox             Isuzu N5                           Base.isuzubox
PinkSlip.isuzuboxelec         Isuzu N5 (Elec)                    Base.isuzuboxelec
PinkSlip.isuzuboxfood         Isuzu N5 (Food)                    Base.isuzuboxfood
PinkSlip.isuzuboxmccoy        Isuzu N5 McCoy                     Base.isuzuboxmccoy
PinkSlip.hmmwvtr              M1069                              Base.hmmwvtr
PinkSlip.hmmwvht              M1025                              Base.hmmwvht
PinkSlip.m35a2bed             M35A2                              Base.m35a2bed
PinkSlip.m35a2covered         M35A2                              Base.m35a2covered
PinkSlip.m35a2fuel            M49A2C                             Base.m35a2fuel
PinkSlip.m151canvas           M151A2                             Base.m151canvas
PinkSlip.firepumper           Fire Engine                        Base.firepumper
PinkSlip.86bounder            86 Fleetwood Bounder               Base.86bounder
PinkSlip.91blazerpd           91 Chevrolet Blazer                Base.91blazerpd
PinkSlip.85vicsheriff         85 Ford Crown Victoria LTD Sheriff Base.85vicsheriff
PinkSlip.85vicranger          85 Ford Crown Victoria LTD         Base.85vicranger
PinkSlip.pursuitspecial       Pursuit Special                    Base.pursuitspecial
PinkSlip.generallee           The General Lee                    Base.generallee
PinkSlip.generalmeh           The General Meh                    Base.generalmeh
PinkSlip.schoolbus            Ford B700 School Bus               Base.schoolbus
PinkSlip.schoolbusshort       Ford B700 School Bus Short         Base.schoolbusshort
PinkSlip.f700dump             Ford F700 Dump Truck               Base.f700dump
PinkSlip.f700flatbed          Ford F700 Flatbed                  Base.f700flatbed
PinkSlip.f700box              Ford F700 Box Truck                Base.f700box
PinkSlip.51chevy3100          51 Chevrolet 3100                  Base.51chevy3100
PinkSlip.51chevy3100old       51 Chevrolet 3100 old              Base.51chevy3100old
PinkSlip.72beetle             72 Volkswagon Beetle               Base.72beetle
PinkSlip.79datsun280z         79 Datsun 280z                     Base.79datsun280z
PinkSlip.80f350               80 Ford F350                       Base.80f350
PinkSlip.80f350ambulance      80 Ford F350 EMS                   Base.80f350ambulance
PinkSlip.80f350offroad        80 Ford F350 Off                   Base.80f350offroad
PinkSlip.80f350quad           80 Ford F350 Quad                  Base.80f350quad
PinkSlip.83hilux              83 Toyota Hilux                    Base.83hilux
PinkSlip.83hiluxoffroad       83 Toyota Hilux Off                Base.83hiluxoffroad
PinkSlip.86econoline          86 Ford Econoline                  Base.86econoline
PinkSlip.86econolineambulance 86 Ford E350 EMS                   Base.86econolineambulance
PinkSlip.86econolinerv        86 Ford E350 RV                    Base.86econolinerv
PinkSlip.87c10offroadlb       87 Chevrolet C10 Off lb            Base.87c10offroadlb
PinkSlip.87c10offroadsb       87 Chevrolet C10 Off sb            Base.87c10offroadsb
PinkSlip.87caprice            87 Chevrolet Caprice               Base.87caprice
PinkSlip.87capricePD          87 Chevrolet Caprice PD            Base.87capricePD
PinkSlip.87blazeroffroad      87 Chevrolet Blazer                Base.87blazeroffroad
PinkSlip.90corolla            90 Toyota Corolla                  Base.90corolla
PinkSlip.90ramoffroadlb       90 Dodge Ram Off lb                Base.90ramoffroadlb
PinkSlip.90ramoffroadsb       90 Dodge Ram Off sb                Base.90ramoffroadsb
PinkSlip.91celica             91 Toyota Celica                   Base.91celica
PinkSlip.91wagoneer           91 Jeep Wagoneer                   Base.91wagoneer
