
Item                         Name                                          Vehicle
----                         ----                                          -------
PinkSlip.91range             '91 RANGE ROVER 4-door                        Base.91range
PinkSlip.91range2            '91 RANGE ROVER 2-door                        Base.91range2
PinkSlip.90niva              '90 Lada Niva                                 Base.90niva
PinkSlip.89def110            '89 LAND ROVER Defender 110 SUV               Base.89def110
PinkSlip.89def110op          '89 LAND ROVER Defender 110 Offroad Pack SUV  Base.89def110op
PinkSlip.89def90             '89 LAND ROVER Defender 90 SUV                Base.89def90
PinkSlip.89def90op           '89 LAND ROVER Defender 90 Offroad Pack SUV   Base.89def90op
PinkSlip.85mercJunk          '85 Mercedes-Benz W123 Junker                 Base.85mercJunk
PinkSlip.85mercSedan         '85 Mercedes-Benz W123 Sedan                  Base.85mercSedan
PinkSlip.85mercWagon         '85 Mercedes-Benz W123 Station Wagon          Base.85mercWagon
PinkSlip.85mercWagon2        '85 Mercedes-Benz W123 Survivor Station Wagon Base.85mercWagon2
PinkSlip.67commando          '67 Cadillac Gage Commando                    Base.67commando
PinkSlip.67commandoPolice    '67 Cadillac Gage Police                      Base.67commandoPolice
PinkSlip.67commandoT50       '67 Cadillac Gage Commando T50                Base.67commandoT50
PinkSlip.87cruiser           '87 TOYOTA Land Cruiser                       Base.87cruiser
PinkSlip.87cruiserLights     '87 TOYOTA Land Cruiser variant 2             Base.87cruiserLights
PinkSlip.87cruiserRoofrack   '87 TOYOTA Land Cruiser with roofrack         Base.87cruiserRoofrack
PinkSlip.88golf2doorMk2      '88 Volkswagen Golf Mk2 2-Door                Base.88golf2doorMk2
PinkSlip.88golf4doorMk2      '88 Volkswagen Golf Mk2 4-Door                Base.88golf4doorMk2
PinkSlip.88jetta2doorMk2     '88 Volkswagen Jetta Mk2 2-Door               Base.88jetta2doorMk2
PinkSlip.88jetta4doorMk2     '88 Volkswagen Jetta Mk2 4-Door               Base.88jetta4doorMk2
PinkSlip.86oshkoshFRTR55     P19A FRTR55                                   Base.86oshkoshFRTR55
PinkSlip.86oshkoshKYFD       '86 Oshkosh P19A KYFD                         Base.86oshkoshKYFD
PinkSlip.86oshkoshUSMC       '86 Oshkosh P19A USMC                         Base.86oshkoshUSMC
PinkSlip.TrailerM1082        M1082 Trailer                                 Base.TrailerM1082
PinkSlip.TrailerM1082tarp    M1082 Covered Trailer                         Base.TrailerM1082tarp
PinkSlip.TrailerM1095        M1095 Trailer                                 Base.TrailerM1095
PinkSlip.TrailerM1095tarp    M1095 Covered Trailer                         Base.TrailerM1095tarp
PinkSlip.82oshkoshM911       '82 Oshkosh M911 Truck                        Base.82oshkoshM911
PinkSlip.82oshkoshM911B      '82 Oshkosh M911 Black                        Base.82oshkoshM911B
PinkSlip.TrailerM127stake    M127 Stake Trailer                            Base.TrailerM127stake
PinkSlip.TrailerM128van      M128 Van Trailer                              Base.TrailerM128van
PinkSlip.TrailerM129van      M129 Van Trailer                              Base.TrailerM129van
PinkSlip.TrailerM747lowbed   M747 Lowbed Trailer                           Base.TrailerM747lowbed
PinkSlip.TrailerM967tanker   M967 Tanker Trailer                           Base.TrailerM967tanker
PinkSlip.isoContainer2       ISO Container                                 Base.isoContainer2
PinkSlip.isoContainer3tanker ISO Container Tank                            Base.isoContainer3tanker
PinkSlip.92amgeneralM998     '92 AM General M998 HMMWV                     Base.92amgeneralM998
PinkSlip.TrailerM101A3cargo  '92 M101A3 Cargo Trailer                      Base.TrailerM101A3cargo
PinkSlip.m12police           M12 Warthog Police                            Base.m12police
PinkSlip.m12transport        M12 Warthog Transport                         Base.m12transport
PinkSlip.m12warthog          M12 Warthog                                   Base.m12warthog
PinkSlip.59meteor            '59 Cadillac Miller-Meteor                    Base.59meteor
PinkSlip.ECTO1               '59 Cadillac Miller-Meteor ECTO-1             Base.ECTO1
PinkSlip.74amgeneralM151A2   '74 AM General M151A2                         Base.74amgeneralM151A2
PinkSlip.78amgeneralM35A2    '78 AM General M35A2                          Base.78amgeneralM35A2

